exchange,exchangeName,name,symbol,productType,tradingUnit,quoteUnit,contractMultiplier,multiplierUnit,minTick,tickUnit,tickValue,sourceUrl,sourceTitle,sourcePublishedAt,verificationStatus,verifiedAt,notes
INE,上海国际能源交易中心,国际铜,BC,commodity,5吨/手,元（人民币）/吨（交易报价为不含税价格）,5.0,吨,10.0,元（人民币）/吨,50.0,https://www.ine.cn/products/futures/metal/nonferrousmetal/bc_f/standard_bc_f/202312/t20231205_802543.html,上海国际能源交易中心阴极铜期货标准合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=5×10。
INE,上海国际能源交易中心,集运指数（欧线）,EC,freight_index,合约乘数：每点50元（官网标准合约未单列交易单位）,指数点,50,元/点,0.5,点,25.0,https://www.ine.cn/products/futures/index_f/ec_f/standard_ec_f/202605/t20260511_831625.html,集运指数（欧线）期货标准合约,,official-static,2026-07-16,官网合约乘数为每点50元；每跳价值=50元/点×0.5点=25.0元。
INE,上海国际能源交易中心,低硫燃料油,LU,commodity,10吨/手,元（人民币）/吨（交易报价为不含税价格）,10.0,吨,1.0,元（人民币）/吨,10.0,https://www.ine.cn/products/futures/energyandchemical/lu_f/standard_lu_f/202312/t20231205_802541.html,上海国际能源交易中心低硫燃料油期货标准合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×1。
INE,上海国际能源交易中心,20号胶,NR,commodity,10吨/手,元（人民币）/吨（交易报价为不含税价格）,10.0,吨,5.0,元（人民币）/吨,50.0,https://www.ine.cn/products/futures/energyandchemical/nr_f/standard_nr_f/202312/t20231205_802542.html,上海国际能源交易中心20号胶期货标准合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=10×5。
INE,上海国际能源交易中心,原油,SC,commodity,1000桶/手,元（人民币）/桶 （交易报价为不含税价格）,1000.0,桶,0.1,元（人民币）/桶,100.0,https://www.ine.cn/products/futures/energyandchemical/sc_f/standard_sc_f/202312/t20231205_802540.html,上海国际能源交易中心原油期货标准合约,,official-static,2026-07-16,按官网交易单位与报价单位换算；每跳价值=1000×0.1。
